turn,decision_latency_ms,memory_recall_f1
1,22.8509999869857,0.0
2,2.248374978080392,0.0
3,2.0818750199396163,0.0
4,2.0539999823085964,0.0
5,2.056334022199735,0.0
6,2.06320799770765,0.0
7,2.17945798067376,0.0
8,2.206250006565824,0.0
9,2.2587499988730997,0.0
10,2.1483339951373637,1.0
11,2.224750001914799,1.0
12,2.169415995012969,1.0
13,2.417375013465062,1.0
14,2.295915997819975,1.0
15,2.3938750091474503,1.0
16,2.3264999908860773,1.0
17,2.3828330158721656,1.0
18,2.35837500076741,1.0
19,2.4674999876879156,1.0
20,2.4952079984359443,1.0
21,2.460832998622209,1.0
22,2.56904200068675,1.0
23,2.6739590102806687,1.0
24,2.769000013358891,1.0
25,2.981334022479132,1.0
26,2.77895899489522,1.0
27,2.7977499994449317,1.0
28,2.8111670108046383,1.0
29,2.9526660218834877,1.0
30,3.007250023074448,1.0
31,3.0400419782381505,1.0
32,3.003082994837314,1.0
33,3.2837500039022416,1.0
34,3.4500419860705733,1.0
35,3.5053750034421682,1.0
36,3.5782910126727074,1.0
37,3.8169999897945672,1.0
38,3.4563749795779586,1.0
39,3.525917010847479,1.0
40,3.615041001467034,1.0
41,4.344290995504707,1.0
42,3.7431670061778277,1.0
43,3.8440840144176036,1.0
44,3.8445419922936708,1.0
45,4.051000025356188,1.0
46,3.995375009253621,1.0
47,4.0980830090120435,1.0
48,4.377290984848514,1.0
49,4.623207991244271,1.0
50,4.721500008599833,1.0
51,4.779499984579161,1.0
52,4.776665999088436,1.0
53,4.862834000959992,1.0
54,4.72495800931938,1.0
55,4.904166009509936,1.0
56,4.984291997971013,1.0
57,5.0475420139264315,1.0
58,5.271750007523224,1.0
59,6.28891697851941,1.0
60,7.693290972383693,1.0
61,25.057541992282495,1.0
62,20.65295897773467,1.0
63,36.19087502011098,1.0
64,19.242333015426993,1.0
65,10.394000011729077,1.0
66,12.690832983935252,1.0
67,10.843083000509068,1.0
68,14.056790998438373,1.0
69,17.875208985060453,1.0
70,32.12604200234637,1.0
71,15.14033300918527,1.0
72,13.761292007984594,1.0
73,11.174082988873124,1.0
74,14.885041979141533,1.0
75,10.584875009953976,1.0
76,12.364875001367182,1.0
77,13.782583991996944,1.0
78,13.275917008286342,1.0
79,13.433708023512736,1.0
80,13.530666998121887,1.0
81,14.601540984585881,1.0
82,13.525624992325902,1.0
83,13.78350000595674,1.0
84,13.248250004835427,1.0
85,13.6298339930363,1.0
86,13.75787498545833,1.0
87,14.318000001367182,1.0
88,14.94970900239423,1.0
89,17.877499980386347,1.0
90,15.289207978639752,1.0
91,15.285166999092326,1.0
92,16.224541992414743,1.0
93,15.937249991111457,1.0
94,16.62650000071153,1.0
95,15.977875009411946,1.0
96,16.577540984144434,1.0
97,16.687875002389774,1.0
98,16.65754200075753,1.0
99,18.641041999217123,1.0
100,20.66012501018122,1.0
