turn,decision_latency_ms,memory_recall_f1
1,22.60745901730843,0.0
2,2.5821249873843044,0.0
3,2.173457993194461,0.0
4,2.0682500035036355,0.0
5,2.3381249920930713,0.0
6,2.1990830136928707,0.0
7,2.1647909888997674,0.0
8,2.179750008508563,0.0
9,1.9868749950546771,0.0
10,2.0151659846305847,1.0
11,2.177042013499886,1.0
12,2.207875018939376,1.0
13,2.190458995755762,1.0
14,2.094082999974489,1.0
15,2.1347079891711473,1.0
16,2.074291987810284,1.0
17,2.2048329992685467,1.0
18,2.1195419831201434,1.0
19,2.1538329892791808,1.0
20,2.11666600080207,1.0
21,2.1217920002527535,1.0
22,2.1193329885136336,1.0
23,2.2199169907253236,1.0
24,2.1704169921576977,1.0
25,2.1514160034712404,1.0
26,2.151458989828825,1.0
27,2.167832979466766,1.0
28,2.146000013453886,1.0
29,2.31537499348633,1.0
30,2.162249991670251,1.0
31,2.206375007517636,1.0
32,2.193499996792525,1.0
33,2.24883301416412,1.0
34,2.2461250191554427,1.0
35,2.3953750205691904,1.0
36,2.4059159914031625,1.0
37,2.386624983046204,1.0
38,2.3034170153550804,1.0
39,2.3615000245627016,1.0
40,2.391875023022294,1.0
41,2.4988329969346523,1.0
42,2.3753750137984753,1.0
43,2.4046670005191118,1.0
44,2.462750009726733,1.0
45,2.408125001238659,1.0
46,3.0445000156760216,1.0
47,2.548290998674929,1.0
48,6.754625006578863,1.0
49,4.879332991549745,1.0
50,5.3641669801436365,1.0
51,4.648500005714595,1.0
52,4.954167001415044,1.0
53,4.531500017037615,1.0
54,4.791167011717334,1.0
55,4.820291011128575,1.0
56,4.6312079939525574,1.0
57,4.796583991264924,1.0
58,4.712374997325242,1.0
59,4.906541988020763,1.0
60,4.917957994621247,1.0
61,4.816708998987451,1.0
62,4.77316600154154,1.0
63,5.0669999909587204,1.0
64,5.031167005654424,1.0
65,5.07074999040924,1.0
66,5.125875002704561,1.0
67,5.206916976021603,1.0
68,5.038875009631738,1.0
69,5.330041982233524,1.0
70,5.52366700139828,1.0
71,5.173208977794275,1.0
72,5.275625007925555,1.0
73,5.920041003264487,1.0
74,6.176250026328489,1.0
75,5.336959002306685,1.0
76,5.590874992776662,1.0
77,5.538333993172273,1.0
78,5.841375008458272,1.0
79,5.681084003299475,1.0
80,5.66908300970681,1.0
81,6.008500000461936,1.0
82,7.040416996460408,1.0
83,6.781541014788672,1.0
84,6.852374994195998,1.0
85,7.383249991107732,1.0
86,5.820582999149337,1.0
87,5.901290976908058,1.0
88,6.285792012931779,1.0
89,6.0743340000044554,1.0
90,6.209540995769203,1.0
91,6.033082987414673,1.0
92,6.002249981975183,1.0
93,6.221042014658451,1.0
94,6.229374994290993,1.0
95,6.317916006082669,1.0
96,6.187541002873331,1.0
97,6.510540988529101,1.0
98,7.211832999018952,1.0
99,6.307291972916573,1.0
100,6.615624995902181,1.0
