turn,decision_latency_ms,memory_recall_f1
1,22.29716701549478,0.0
2,1.5894579992163926,0.0
3,1.3210000179242343,0.0
4,1.3842920016031712,0.0
5,3.76362499082461,0.0
6,1.308208011323586,0.0
7,1.248082990059629,0.0
8,1.1797499901149422,0.0
9,1.1424169933889061,0.0
10,1.1834999895654619,1.0
11,1.2649590207729489,1.0
12,1.1762499925680459,1.0
13,1.1052080080844462,1.0
14,1.0888339893426746,1.0
15,1.0889169934671372,1.0
16,1.1017090000677854,1.0
17,1.073624996934086,1.0
18,1.2272080057300627,1.0
19,2.635167009430006,1.0
20,1.2799579999409616,1.0
21,1.2872079969383776,1.0
22,1.246166997589171,1.0
23,2.181082993047312,1.0
24,1.343665993772447,1.0
25,1.2112920230720192,1.0
26,1.201375009259209,1.0
27,1.3382910110522062,1.0
28,1.114458020310849,1.0
29,1.0986250126734376,1.0
30,1.0932919976767153,1.0
31,1.095292012905702,1.0
32,1.0886669915635139,1.0
33,1.0836669825948775,1.0
34,1.0654579964466393,1.0
35,1.0660840198397636,1.0
36,1.05720799183473,1.0
37,1.2660420034080744,1.0
38,1.1380829964764416,1.0
39,1.0791659879032522,1.0
40,1.0679580154828727,1.0
41,1.0695409728214145,1.0
42,1.0655000223778188,1.0
43,1.077166001778096,1.0
44,1.0639999818522483,1.0
45,1.0701249993871897,1.0
46,1.0666669986676425,1.0
47,1.2674160243477672,1.0
48,1.3004160136915743,1.0
49,1.1127920006401837,1.0
50,1.0757500131148845,1.0
51,1.077624998288229,1.0
52,1.075791020411998,1.0
53,1.0868750105146319,1.0
54,1.0906670067925006,1.0
55,1.0745830077212304,1.0
56,1.1626669729594141,1.0
57,1.1590829817578197,1.0
58,1.1268749949522316,1.0
59,1.1022910184692591,1.0
60,1.1137910187244415,1.0
61,1.1038339871447533,1.0
62,1.0995409975294024,1.0
63,1.098542008548975,1.0
64,1.114374987082556,1.0
65,1.10583400237374,1.0
66,1.1678339797072113,1.0
67,1.1824579851236194,1.0
68,1.1294590076431632,1.0
69,1.1185829935129732,1.0
70,1.112666999688372,1.0
71,1.1034579947590828,1.0
72,1.1127500038128346,1.0
73,1.352999999653548,1.0
74,1.12825000542216,1.0
75,1.1280420003458858,1.0
76,1.2674579920712858,1.0
77,1.2014159874524921,1.0
78,1.1179160210303962,1.0
79,1.1297079909127206,1.0
80,1.1189169890712947,1.0
81,1.1226659989915788,1.0
82,1.1027090076822788,1.0
83,1.1218329891562462,1.0
84,1.120250002713874,1.0
85,1.205000007757917,1.0
86,1.138749998062849,1.0
87,1.1667920043691993,1.0
88,1.1374999885447323,1.0
89,1.1297499877400696,1.0
90,1.1225419875700027,1.0
91,1.1353330046404153,1.0
92,1.1205420014448464,1.0
93,1.138666004408151,1.0
94,1.1253340053372085,1.0
95,1.2643749942071736,1.0
96,1.2176659947726876,1.0
97,1.153833989519626,1.0
98,1.113459002226591,1.0
99,1.1245409841649234,1.0
100,1.1195830011274666,1.0
