turn,decision_latency_ms,memory_recall_f1
1,18.97574999020435,0.0
2,1.14095801836811,0.0
3,1.0706250031944364,0.0
4,1.0593339975457639,0.0
5,1.1226249916944653,0.0
6,1.1127090256195515,0.0
7,1.0686249879654497,0.0
8,1.055500004440546,0.0
9,1.0618329979479313,0.0
10,1.0554170003160834,1.0
11,1.2666670081671327,1.0
12,1.105792005546391,1.0
13,1.0744580067694187,1.0
14,1.0782500030472875,1.0
15,1.1048330052290112,1.0
16,1.0464579972904176,1.0
17,1.0380840103607625,1.0
18,1.0579579975456,1.0
19,1.156499987700954,1.0
20,1.2595420121215284,1.0
21,1.1549170012585819,1.0
22,1.181790983537212,1.0
23,1.0457909957040101,1.0
24,1.1883749975822866,1.0
25,1.1046660074498504,1.0
26,1.0733749950304627,1.0
27,1.0807919898070395,1.0
28,1.1033750197384506,1.0
29,1.2265410041436553,1.0
30,1.1269170208834112,1.0
31,1.1716249864548445,1.0
32,1.040625007590279,1.0
33,1.0390000243205577,1.0
34,1.0233749926555902,1.0
35,1.1052500049117953,1.0
36,1.041040988638997,1.0
37,1.0448330140206963,1.0
38,1.043541997205466,1.0
39,1.312459004111588,1.0
40,1.1406659905333072,1.0
41,1.1990000202786177,1.0
42,1.1032919865101576,1.0
43,1.0874589788727462,1.0
44,1.091707992600277,1.0
45,1.1490420147310942,1.0
46,1.1734160070773214,1.0
47,1.1176249827258289,1.0
48,1.335208013188094,1.0
49,1.1558340047486126,1.0
50,1.335250010015443,1.0
51,1.1044169950764626,1.0
52,1.077167020412162,1.0
53,1.0722079896368086,1.0
54,1.0413749841973186,1.0
55,1.1387089907657355,1.0
56,1.0660830012056977,1.0
57,1.0436249722260982,1.0
58,1.2229169951751828,1.0
59,1.1047919979318976,1.0
60,1.2850410130340606,1.0
61,1.0892919963225722,1.0
62,1.0415420110803097,1.0
63,1.0689159971661866,1.0
64,1.0392919939476997,1.0
65,1.0874580184463412,1.0
66,1.0435829753987491,1.0
67,1.0541660012677312,1.0
68,1.214749994687736,1.0
69,1.1005420237779617,1.0
70,1.464041997678578,1.0
71,1.0827920050360262,1.0
72,1.0508749983273447,1.0
73,1.0605420102365315,1.0
74,1.0512500011827797,1.0
75,1.1112090141978115,1.0
76,1.0525829857215285,1.0
77,1.0326249757781625,1.0
78,1.1707500088959932,1.0
79,1.1200000008102506,1.0
80,1.3041250058449805,1.0
81,1.1022499820683151,1.0
82,1.0984579857904464,1.0
83,1.0972089949063957,1.0
84,1.0879999899771065,1.0
85,1.1175829858984798,1.0
86,1.0907079849857837,1.0
87,1.107915973989293,1.0
88,1.184249995276332,1.0
89,1.1920830002054572,1.0
90,1.0819589952006936,1.0
91,1.0665000008884817,1.0
92,1.05945800896734,1.0
93,1.0702080035116524,1.0
94,1.0691249917726964,1.0
95,1.1147500190418214,1.0
96,1.0682909924071282,1.0
97,1.1326670064590871,1.0
98,1.1211250093765557,1.0
99,1.4291660045273602,1.0
100,1.0972080053761601,1.0
