turn,decision_latency_ms,memory_recall_f1
1,36.6940830135718,0.0
2,5.760291998740286,0.0
3,5.492834025062621,0.0
4,5.455207981867716,0.0
5,5.074957996839657,0.0
6,4.954125004587695,0.0
7,5.322665994754061,0.0
8,5.100166017655283,0.0
9,4.970249981852248,0.0
10,5.556999996770173,1.0
11,5.243834020802751,1.0
12,5.271041998639703,1.0
13,4.993582988390699,1.0
14,5.003416008548811,1.0
15,5.433125013951212,1.0
16,5.250124988378957,1.0
17,5.087208992335945,1.0
18,5.389291007304564,1.0
19,5.146125011378899,1.0
20,5.12720801634714,1.0
21,5.987624987028539,1.0
22,5.318500014254823,1.0
23,5.260625010123476,1.0
24,5.209750001085922,1.0
25,5.191040982026607,1.0
26,5.335249996278435,1.0
27,5.366665980545804,1.0
28,5.331833992386237,1.0
29,5.608041014056653,1.0
30,5.407999997260049,1.0
31,5.280208017211407,1.0
32,5.482542008394375,1.0
33,5.329207982867956,1.0
34,5.440957989776507,1.0
35,5.501624982571229,1.0
36,5.534541996894404,1.0
37,5.643874988891184,1.0
38,5.402332986705005,1.0
39,5.5050420050974935,1.0
40,5.686041986336932,1.0
41,5.614541994873434,1.0
42,5.535584001336247,1.0
43,5.690291000064462,1.0
44,5.621042015263811,1.0
45,5.786709021776915,1.0
46,5.934000015258789,1.0
47,5.8365830045659095,1.0
48,9.82670800294727,1.0
49,8.569791010813788,1.0
50,8.41083299019374,1.0
51,11.034625000320375,1.0
52,8.610167016740888,1.0
53,10.056333994725719,1.0
54,8.906792005291209,1.0
55,8.555959007935598,1.0
56,8.636999991722405,1.0
57,8.579582994570956,1.0
58,8.635375008452684,1.0
59,8.737500000279397,1.0
60,9.283749997848645,1.0
61,9.430749982129782,1.0
62,9.25704199471511,1.0
63,10.250374994939193,1.0
64,10.838124988367781,1.0
65,9.60654200753197,1.0
66,10.04712498979643,1.0
67,9.974916989449412,1.0
68,10.182208003243431,1.0
69,10.403917025541887,1.0
