turn,decision_latency_ms,memory_recall_f1
1,27.329624979756773,0.0
2,2.2977920016273856,0.0
3,1.9564160029403865,0.0
4,2.2737499966751784,0.0
5,2.059999998891726,0.0
6,1.9250000186730176,0.0
7,1.9464170036371797,0.0
8,2.4252499861177057,0.0
9,2.0303750061430037,0.0
10,2.0444580004550517,1.0
11,2.6634160021785647,1.0
12,2.1469590137712657,1.0
13,2.1568329830188304,1.0
14,2.704250015085563,1.0
15,2.323749999050051,1.0
16,2.384666004218161,1.0
17,2.158832998247817,1.0
18,2.6982080016750842,1.0
19,2.1881669817958027,1.0
20,2.2330829815473408,1.0
21,2.1449580090120435,1.0
22,2.2362919989973307,1.0
23,2.1173330023884773,1.0
24,2.2182920074556023,1.0
25,2.3229169892147183,1.0
26,2.4139999877661467,1.0
27,3.0438329849857837,1.0
28,2.503791998606175,1.0
29,2.482291019987315,1.0
30,2.501208015019074,1.0
31,2.533582999603823,1.0
32,2.5712499918881804,1.0
33,2.5486249942332506,1.0
34,2.577832987299189,1.0
35,2.6178339903708547,1.0
36,2.6447499985806644,1.0
37,2.769834012724459,1.0
38,2.89820900070481,1.0
39,2.8217090002726763,1.0
40,2.843541995389387,1.0
41,2.816624997649342,1.0
42,2.9746250074822456,1.0
43,2.956000011181459,1.0
44,3.0088750063441694,1.0
45,3.084707976086065,1.0
46,3.1042499758768827,1.0
47,3.382833005161956,1.0
48,6.812250008806586,1.0
49,7.400291011435911,1.0
50,7.0610840048175305,1.0
51,5.820916005177423,1.0
52,6.975500000407919,1.0
53,6.0099170077592134,1.0
54,6.3060410029720515,1.0
55,6.150125002022833,1.0
56,6.329416995868087,1.0
57,6.278834014665335,1.0
58,6.498707982245833,1.0
59,6.648915994446725,1.0
60,6.584457994904369,1.0
61,6.798332993639633,1.0
62,6.677666999166831,1.0
63,6.802957999752834,1.0
64,6.924833985976875,1.0
65,7.077334012137726,1.0
66,7.04033300280571,1.0
67,6.974667019676417,1.0
68,7.157292013289407,1.0
69,7.3151669930666685,1.0
70,7.572083006380126,1.0
71,7.410582999000326,1.0
72,8.557791006751359,1.0
73,7.436624990077689,1.0
74,8.762708021095023,1.0
75,7.669249986065552,1.0
76,7.814458978828043,1.0
77,8.021082991035655,1.0
78,7.828458008589223,1.0
79,7.973125000717118,1.0
80,7.979166985023767,1.0
81,8.000500005437061,1.0
82,7.921166979940608,1.0
83,8.249000005889684,1.0
84,8.403083018492907,1.0
85,8.5317499761004,1.0
86,8.645916997920722,1.0
87,8.831542014377192,1.0
88,8.877000014763325,1.0
89,9.14750000811182,1.0
90,9.374291985295713,1.0
91,9.944000019459054,1.0
92,9.996333013987169,1.0
93,9.83566598733887,1.0
94,10.250374994939193,1.0
95,10.17850000062026,1.0
96,9.846792003372684,1.0
97,10.023624985478818,1.0
98,11.911540990695357,1.0
99,10.973958007525653,1.0
100,10.77591598732397,1.0
