turn,decision_latency_ms,memory_recall_f1
1,35.7674999977462,0.0
2,4.6556250017602,0.0
3,4.221541981678456,0.0
4,4.5892920170444995,0.0
5,4.416167008457705,0.0
6,4.216083005303517,0.0
7,4.185583995422348,0.0
8,4.221040988340974,0.0
9,4.120000026887283,0.0
10,4.259374982211739,1.0
11,4.455791000509635,1.0
12,4.5418750087264925,1.0
13,4.414291004650295,1.0
14,4.263749986421317,1.0
15,4.583041998557746,1.0
16,4.448291991138831,1.0
17,4.347332986071706,1.0
18,4.707125015556812,1.0
19,4.526042001089081,1.0
20,4.508125013671815,1.0
21,4.736792005132884,1.0
22,4.669291985919699,1.0
23,4.845125018619001,1.0
24,5.154666985617951,1.0
25,4.6858749992679805,1.0
26,4.757000016979873,1.0
27,4.855082981521264,1.0
28,4.771167004946619,1.0
29,4.983666993211955,1.0
30,5.545791995245963,1.0
31,4.827666998608038,1.0
32,4.845082992687821,1.0
33,5.186041991692036,1.0
34,5.017957999370992,1.0
35,5.11075000395067,1.0
36,5.206875008298084,1.0
37,5.366208002669737,1.0
38,5.13187499018386,1.0
39,5.256583011941984,1.0
40,5.262041027890518,1.0
41,5.383167008403689,1.0
42,5.270833004033193,1.0
43,5.35133300581947,1.0
44,5.611750006210059,1.0
45,5.7811659935396165,1.0
46,5.571540998062119,1.0
47,5.941291979979724,1.0
48,9.75066699902527,1.0
49,8.745583007112145,1.0
50,8.662665990414098,1.0
51,8.66070800111629,1.0
52,8.849874982843176,1.0
53,8.593249978730455,1.0
54,8.823625015793368,1.0
55,8.609957993030548,1.0
56,8.74054100131616,1.0
57,8.95891699474305,1.0
58,9.08958399668336,1.0
59,9.303874976467341,1.0
60,9.7285830124747,1.0
61,9.414208005182445,1.0
62,9.347415994852781,1.0
63,10.728124994784594,1.0
64,10.558333015069366,1.0
65,10.439791018143296,1.0
66,11.220416985452175,1.0
67,11.314041999867186,1.0
68,10.612000012770295,1.0
69,10.59724998776801,1.0
70,10.79966698307544,1.0
71,11.439916997915134,1.0
72,10.66820797859691,1.0
73,11.610624991590157,1.0
74,11.098290997324511,1.0
75,10.963292006636038,1.0
76,10.958416998619214,1.0
77,10.983457992551848,1.0
78,11.673000000882894,1.0
79,11.135167005704716,1.0
80,11.955832975218073,1.0
81,11.534125020261854,1.0
82,11.42674998845905,1.0
83,11.540040984982625,1.0
84,11.804041976574808,1.0
85,11.782582994783297,1.0
86,12.071207980625331,1.0
87,11.800540989497676,1.0
88,12.347000010777265,1.0
89,12.333499995293096,1.0
90,12.53300000098534,1.0
91,13.307874993188307,1.0
92,12.882708018878475,1.0
93,12.941791996126994,1.0
94,13.601208018371835,1.0
95,13.100416021188721,1.0
96,13.092958979541436,1.0
97,13.083625002764165,1.0
98,12.903666007332504,1.0
99,13.199624983826652,1.0
100,13.578375015640631,1.0
