turn,decision_latency_ms,memory_recall_f1
1,35.12595800566487,0.0
2,2.8030000103171915,0.0
3,2.645667002070695,0.0
4,2.88304197601974,0.0
5,2.368874993408099,0.0
6,2.3941659892443568,0.0
7,2.7664579974953085,0.0
8,2.5466670049354434,0.0
9,2.3762919881846756,0.0
10,3.6328340065665543,1.0
11,2.6832080038730055,1.0
12,3.942082985304296,1.0
13,2.542999980505556,1.0
14,2.396500000031665,1.0
15,2.3413330200128257,1.0
16,2.3412499867845327,1.0
17,2.598790975753218,1.0
18,2.3444159887731075,1.0
19,2.3793330183252692,1.0
20,2.352667012019083,1.0
21,2.4587910156697035,1.0
22,2.747332997387275,1.0
23,2.4179999891202897,1.0
24,2.4062909942585975,1.0
25,2.4386669974774122,1.0
26,2.4343340191990137,1.0
27,2.439208998112008,1.0
28,2.6660829898901284,1.0
29,2.519458008464426,1.0
30,2.4396670050919056,1.0
31,2.506666991394013,1.0
32,2.5016670115292072,1.0
33,2.742624987149611,1.0
34,2.5972920120693743,1.0
35,2.614041994092986,1.0
36,2.634291013237089,1.0
37,2.593457989860326,1.0
38,3.1153330055531114,1.0
39,2.8098750044591725,1.0
40,2.8344170132186264,1.0
41,2.7442080026958138,1.0
42,2.7063339948654175,1.0
43,2.9919170192442834,1.0
44,2.9955829959362745,1.0
45,2.8809999930672348,1.0
46,2.8642090037465096,1.0
47,2.8527500107884407,1.0
48,6.350250012474135,1.0
49,5.208165996009484,1.0
50,5.298125004628673,1.0
51,5.130207980982959,1.0
52,5.155959021067247,1.0
53,6.104165979195386,1.0
54,5.401958973379806,1.0
55,5.1444999990053475,1.0
56,5.504083004780114,1.0
57,5.259959027171135,1.0
58,5.270624998956919,1.0
59,5.372790998080745,1.0
60,5.526041000848636,1.0
61,5.643082986352965,1.0
62,5.382083007134497,1.0
63,5.594125017523766,1.0
64,5.794833006802946,1.0
65,5.708749988116324,1.0
66,5.53712499095127,1.0
67,5.659207992721349,1.0
68,5.763583001680672,1.0
69,5.9785000048577785,1.0
70,5.837750009959564,1.0
71,5.849999986821786,1.0
72,6.405375024769455,1.0
73,6.0356670001056045,1.0
74,6.536832981510088,1.0
75,6.477000017184764,1.0
76,6.1124170024413615,1.0
77,6.216082983883098,1.0
78,6.278500019107014,1.0
79,6.373333017108962,1.0
80,6.327625014819205,1.0
81,6.710957997711375,1.0
82,7.420792011544108,1.0
83,6.582125002751127,1.0
84,6.500499992398545,1.0
85,6.5405409841332585,1.0
86,6.694457988487557,1.0
87,6.708041997626424,1.0
88,6.7675409954972565,1.0
89,6.7204580118414015,1.0
90,6.7407079914119095,1.0
91,8.171916007995605,1.0
92,8.90429099672474,1.0
93,7.630457985214889,1.0
94,8.0220410018228,1.0
95,8.906082977773622,1.0
96,8.211833017412573,1.0
97,7.106792007107288,1.0
98,7.879166980274022,1.0
99,7.1624159754719585,1.0
100,8.031167002627626,1.0
