turn,decision_latency_ms,memory_recall_f1
1,24.671791004948318,0.0
2,2.4757500214036554,0.0
3,1.9167920108884573,0.0
4,1.9273330108262599,0.0
5,1.9561249937396497,0.0
6,1.9430419779382646,0.0
7,1.9427920051384717,0.0
8,2.1322919928934425,0.0
9,2.0115000079385936,0.0
10,2.0452499738894403,1.0
11,2.229707984952256,1.0
12,2.0868749998044223,1.0
13,2.129917003912851,1.0
14,2.235209016362205,1.0
15,2.709000022150576,1.0
16,2.320166997378692,1.0
17,2.338165999390185,1.0
18,2.381250000325963,1.0
19,2.506458986317739,1.0
20,2.741916017839685,1.0
21,2.5754999951459467,1.0
22,2.6537080120760947,1.0
23,2.683083002921194,1.0
24,3.558875003363937,1.0
25,3.620542003773153,1.0
26,3.2073330075945705,1.0
27,3.2168750185519457,1.0
28,3.6304589884821326,1.0
29,3.9192080148495734,1.0
30,3.014167014043778,1.0
31,3.0096250120550394,1.0
32,3.8204999873414636,1.0
33,3.389374993275851,1.0
34,3.563417005352676,1.0
35,3.54941698606126,1.0
36,3.211124974768609,1.0
37,3.226707980502397,1.0
38,3.415624989429489,1.0
39,3.5901670053135604,1.0
40,3.6632920091506094,1.0
41,3.581291006412357,1.0
42,3.6475420056376606,1.0
43,3.952917002607137,1.0
44,3.7348750047385693,1.0
45,3.838583012111485,1.0
46,3.897958988090977,1.0
47,4.066958004841581,1.0
48,4.103290993953124,1.0
49,4.2294589802622795,1.0
50,4.255165986251086,1.0
51,4.601124994223937,1.0
52,4.448541993042454,1.0
53,4.594250000081956,1.0
54,4.996708012185991,1.0
55,4.975582996848971,1.0
56,4.8745000094641,1.0
57,5.19245900795795,1.0
58,5.0525419937912375,1.0
59,5.123584007378668,1.0
60,5.479666986502707,1.0
61,9.871709014987573,1.0
62,10.94191599986516,1.0
63,11.652125016553327,1.0
64,11.257417005253956,1.0
65,10.78658300684765,1.0
66,13.047458021901548,1.0
67,12.59487500647083,1.0
68,10.75666700489819,1.0
69,11.24191700364463,1.0
70,11.397333990316838,1.0
71,11.733708990504965,1.0
72,11.751915997592732,1.0
73,12.48945901170373,1.0
74,12.683291017310694,1.0
75,12.988792004762217,1.0
76,13.361916993744671,1.0
77,13.200667017372325,1.0
78,12.637624982744455,1.0
79,13.044207997154444,1.0
80,13.35033299983479,1.0
81,13.185833988245577,1.0
82,13.360749988351017,1.0
83,13.165583019144833,1.0
84,12.926124996738508,1.0
85,15.017792000435293,1.0
86,15.965750004397705,1.0
87,16.914875013753772,1.0
88,16.13900001393631,1.0
89,16.204916988499463,1.0
90,15.010667004389688,1.0
91,15.23099999758415,1.0
92,15.25224998476915,1.0
93,16.88524999190122,1.0
94,13.718208007048815,1.0
95,20.10112500283867,1.0
96,18.9948340121191,1.0
97,16.331209015334025,1.0
98,17.478750000009313,1.0
99,17.05808300175704,1.0
100,17.309040995314717,1.0
