turn,decision_latency_ms,memory_recall_f1
1,7.536542019806802,0.0
2,2.532332990085706,0.0
3,2.4788750160951167,0.0
4,2.321334002772346,0.0
5,2.648875000886619,0.0
6,2.290541015099734,0.0
7,2.281875000335276,0.0
8,2.656124997884035,0.0
9,2.5060840125661343,0.0
10,2.437457995256409,1.0
11,2.2685410222038627,1.0
12,2.2612919856328517,1.0
13,2.3307079973164946,1.0
14,2.4526669876649976,1.0
15,2.2278749966062605,1.0
16,2.2515830060001463,1.0
17,2.2327920014504343,1.0
18,2.6171249919570982,1.0
19,2.268167008878663,1.0
20,2.340167004149407,1.0
21,2.294750011060387,1.0
22,2.2599580115638673,1.0
23,2.5439999881200492,1.0
24,2.301416010595858,1.0
25,2.2954579908400774,1.0
26,2.290625008754432,1.0
27,2.3424999963026494,1.0
28,2.2937500034458935,1.0
29,2.5092920113820583,1.0
30,2.4879999982658774,1.0
31,2.4492080265190452,1.0
32,2.4233339936472476,1.0
33,2.45349999750033,1.0
34,2.5531249993946403,1.0
35,2.601042011519894,1.0
36,2.4852089991327375,1.0
37,2.492374973371625,1.0
38,2.431542001431808,1.0
39,2.48733299667947,1.0
40,2.650042006280273,1.0
41,2.5346250040456653,1.0
42,2.536457992391661,1.0
43,2.600499981781468,1.0
44,2.663874998688698,1.0
45,2.787749981507659,1.0
46,2.71858400083147,1.0
47,2.9375830199569464,1.0
48,5.8438330015633255,1.0
49,5.079082999145612,1.0
50,4.885000002104789,1.0
51,4.7597500088158995,1.0
52,4.982165992259979,1.0
53,4.793291009264067,1.0
54,4.789708997122943,1.0
55,4.942333995131776,1.0
56,5.347750004148111,1.0
57,5.44812498264946,1.0
58,5.107834003865719,1.0
59,5.099875008454546,1.0
60,4.978749988367781,1.0
61,6.141999998362735,1.0
62,5.146166018676013,1.0
63,5.367791018215939,1.0
64,5.103583011077717,1.0
65,5.303999991156161,1.0
66,5.931624997174367,1.0
67,5.371374980313703,1.0
68,5.357875023037195,1.0
69,5.564582999795675,1.0
70,5.408416996942833,1.0
71,5.608500010566786,1.0
72,5.9002919879276305,1.0
73,7.085916993673891,1.0
74,7.194874982815236,1.0
75,6.628292001551017,1.0
76,6.846416014013812,1.0
77,6.417415977921337,1.0
78,6.61095799296163,1.0
79,5.693290993804112,1.0
80,5.733166006393731,1.0
81,7.020125020062551,1.0
82,6.44200001261197,1.0
83,6.8352920061443,1.0
84,7.167707983171567,1.0
85,7.557625009212643,1.0
86,6.110334012191743,1.0
87,6.481624994194135,1.0
88,6.888666015584022,1.0
89,6.461666984250769,1.0
90,6.426042004022747,1.0
91,6.250750011531636,1.0
92,7.050291984342039,1.0
93,6.3516249938402325,1.0
94,6.599832995561883,1.0
95,6.343082990497351,1.0
96,6.688666995614767,1.0
97,6.686707987682894,1.0
98,6.778292008675635,1.0
99,7.021917001111433,1.0
100,6.811208993894979,1.0
