turn,decision_latency_ms,memory_recall_f1
1,25.977084005717188,0.0
2,2.183333010179922,0.0
3,1.9648330053314567,0.0
4,1.9463750068098307,0.0
5,1.978082989808172,0.0
6,2.028416987741366,0.0
7,2.029458002652973,0.0
8,2.324791013961658,0.0
9,2.0955420040991157,0.0
10,9.65399999404326,1.0
11,63.46204099827446,1.0
12,17.45899999514222,1.0
13,2.836458006640896,1.0
14,2.3268749937415123,1.0
15,4.1727080242708325,1.0
16,2.9464170220308006,1.0
17,2.3566249874420464,1.0
18,10.842374991625547,1.0
19,3.4492500126361847,1.0
20,2.7857090171892196,1.0
21,2.426624996587634,1.0
22,2.3729579988867044,1.0
23,2.417082985630259,1.0
24,2.7835830114781857,1.0
25,5.631375010125339,1.0
26,3.6195419961586595,1.0
27,3.036583017092198,1.0
28,3.028124978300184,1.0
29,2.863749978132546,1.0
30,2.7991249808110297,1.0
31,2.9311250254977494,1.0
32,2.8311659989412874,1.0
33,2.8480420005507767,1.0
34,2.777291985694319,1.0
35,2.955833973828703,1.0
36,3.4724999859463423,1.0
37,3.064459015149623,1.0
38,2.9523749835789204,1.0
39,3.0069579952396452,1.0
40,3.4539999905973673,1.0
41,3.258916985942051,1.0
42,3.4237919899169356,1.0
43,3.281624987721443,1.0
44,3.5985420108772814,1.0
45,3.393334016436711,1.0
46,3.443207999225706,1.0
47,3.471292002359405,1.0
48,6.303458008915186,1.0
49,5.408375000115484,1.0
50,5.616042006295174,1.0
51,5.341875017620623,1.0
52,5.846415995620191,1.0
53,6.2220830004662275,1.0
54,5.415457999333739,1.0
55,6.175291986437514,1.0
56,5.347667000023648,1.0
57,5.157125007826835,1.0
58,7.183582987636328,1.0
59,6.6505830036476254,1.0
60,6.853999977465719,1.0
61,6.877791020087898,1.0
62,7.023666985332966,1.0
63,7.84108298830688,1.0
64,7.30741600273177,1.0
65,6.966667016968131,1.0
66,7.013583992375061,1.0
67,7.244707987410948,1.0
68,7.355374982580543,1.0
69,7.593374990392476,1.0
70,7.613458001287654,1.0
71,7.703249983023852,1.0
72,7.494083023630083,1.0
73,7.952999992994592,1.0
74,7.587583007989451,1.0
75,7.745083974441513,1.0
76,7.860416983021423,1.0
77,7.798166014254093,1.0
78,7.817417004844174,1.0
79,8.200250013032928,1.0
80,7.934708002721891,1.0
81,11.489750002510846,1.0
82,9.018583019496873,1.0
83,10.395625024102628,1.0
84,9.838291996857151,1.0
85,10.009542020270601,1.0
86,9.471291006775573,1.0
87,9.89779198425822,1.0
88,9.545124979922548,1.0
89,9.397041983902454,1.0
90,9.60766599746421,1.0
91,10.867791017517447,1.0
92,9.73624998005107,1.0
93,10.095834004459903,1.0
94,10.08712500333786,1.0
95,10.605417017359287,1.0
96,10.715041018556803,1.0
97,10.469458007719368,1.0
98,10.368249990278855,1.0
99,10.7164999935776,1.0
100,10.6357499898877,1.0
